update_date,text,categories_list,num_categories,cluster
2018-10-19,globular cluster formed dark halo day abundance distribution kinematics explore metal poor globular cluster gc centre dark matter halo early universe reionization hypothesis lead prediction abundance distribution kinematics gc today explore cosmological body simulation analytical modelling selecting massive tail collapsed object gtrsim formation site lead main prediction highly clustered population gc galaxy today natural scaling gc halo virial mass follows roughly observed trend iii free floating gc outside massive halo gc embedded massive extended dark matter sub halo strongest constraint combination mass cut tagged gc halo account density metal poor gc today predicts radial distribution extended compared observation hand mass cut match observed half radius could metal poor population case observation favour early redshift formation geq,['astro-ph.GA'],1,6
2022-10-05,polychromatic neutron contrast imaging weakly absorbing sample enabled retrieval retrieval propagation contrast neutron imaging polychromatic beam enables imaging sample absorption contrast improving signal noise ratio facilitate resolved measurement metal sample designed close pure object bone sample canal partially filled demonstrating sample imaged polychromatic neutron beam followed retrieval sample signal noise ratio improved bone sample retrieval allowed separation bone situ flow experiment deuteration contrast avoids chemical contrast enhancement make neutron imaging interesting complementary ray imaging bone,['physics.med-ph'],1,7
2020-08-04,streaming insert hierarchical hypersparse graphblas matrix suitesparse graphblas library implement hypersparse matrix binding language python julia matlab octave graphblas provides lightweight memory database implementation hypersparse matrix ideal analyzing type network data providing mathematical guarantee linearity streaming update hypersparse matrix put enormous pressure memory hierarchy benchmark implementation hierarchical hypersparse matrix reduces memory pressure dramatically increase update rate hypersparse matrix parameter hierarchical hypersparse matrix rely controlling entry level hierarchy update cascaded parameter easily tunable application hierarchical hypersparse matrix update per instance scaling instance hierarchical hypersparse matrix array server node mit supercloud achieved sustained update rate update per capability allows mit supercloud extremely streaming network data set,"['cs.DC', 'cs.DB', 'cs.DS', 'cs.PF', 'cs.SI']",5,4
2022-02-22,global probabilistically strong markov solution stochastic navier stokes equation existence uniqueness concerned dimensional incompressible navier stokes equation additive stochastic forcing trace class every divergence free initial establish existence infinitely global probabilistically strong analytically weak solution solving problem field implies uniqueness law uniqueness associated markov process suitably chosen class analytically weak solution satisfying relaxed energy inequality translated deterministic uniqueness associated semiflows,"['math.PR', 'math.AP']",2,10
2020-05-13,dimensional kinematic reconstruction optically emitting velocity oxygen rich ejecta supernova remnant dimensional kinematic reconstruction optically emitting oxygen rich ejecta supernova remnant magellanic cloud data magellan telescope combination imacs gismo instrument survey iii lambda lambda line emission sim prime time prime region centered spatial spectral resolution data enable examination optical ejecta majority optically bright oxygen ejecta arranged torus geometry tilted approximately circ respect plane sky torus radius lmc kpc exhibit blue shifted radial velocity asymmetry conspicuous break circumference assuming homologous expansion geometric center rich filament average expansion velocity translates age since explosion faint spatially separated runaway knot total space velocity nearly perpendicular torus plane coincident ray emission substantially relative lmc bulk ejecta kinematic chemical signature suggest origin deep progenitor star overall main shell morphology velocity enriched component remarkable similarity cassiopeia iib supernova explosion result underscore observation simulation robustly reconcile observed morphology dominated explosion dynamic shaped interaction environment,"['astro-ph.HE', 'astro-ph.GA', 'astro-ph.SR']",3,6
2018-06-05,analysis splitting scheme damped stochastic nonlinear schr odinger equation multiplicative noise damped stochastic nonlinear schr odinger nls equation multiplicative noise splitting approximation damped enough solution damped stochastic nls equation splitting scheme exponential stable posse exponential integrability property lead strong scheme frac independent meanwhile regularity kolmogorov equation respect equation consequence weak scheme twice strong independent,['math.NA'],1,10
2021-05-10,nadaraya watson estimator bandwidth regression write nadaraya watson estimator regression quotient kernel estimator bandwidth numerator denominator risk bound data estimator resulting ratio confirms estimator performance compared one validation bandwidth unexpectedly bandwidth validation estimator much ratio estimator small noise method similar performance model noise,"['math.ST', 'stat.TH']",2,4
2022-06-24,wasserstein sne scientific datasets hierarchical survey individual participant sample might grouped level unit geographical region setting exploring unit level rather sample level unit compared distance mean ignores unit distribution sample develop exploratory analysis hierarchical datasets wasserstein distance metric take shape unit distribution sne embeddings unit matrix pairwise wasserstein distance distance matrix computed approximating unit gaussian distribution scalable compute exact wasserstein distance synthetic data effectiveness wasserstein sne apply data german parliamentary election considering polling station sample voting district unit resulting embedding uncovers meaningful data,"['cs.LG', 'cs.HC', 'stat.ML']",3,4
2021-06-30,nonlocal darboux transformation stationary axially symmetric schr odinger helmholtz equation nonlocal darboux transformation stationary axially symmetric schr odinger helmholtz equation considered formula nonlocal darboux transformation relation generalized moutard transformation established example dimensional potencials exact solution stationary axially symmetric schr odinger helmholtz equation nonlocal darboux transformation,"['math-ph', 'math.MP']",2,10
2020-02-12,chemistry india global perspective scientometrics profile paper india cited time average compared cite per singapore usa china south korea germany le paper india quartile factor journal compared china south korea percent share paper quartile journal india chemistry category viz analytical applied inorganic nuclear medicinal multidisciplinary organic physical electrochemistry considers data entire period alone indian chemistry paper collaboration international coauthor researcher indian institution published least paper compared usa china central private university institution ministry human resource development csir laboratory department atomic energy institution department science technology institution indian chemistry paper come public university indian institution viz bhabha atomic centre indian institute science indian institute chemical technology published paper none indian university asian university amrita vishwa vidyapeetham small institution le paper reasonably,['cs.DL'],1,4
2023-05-03,erosita final equatorial depth survey efeds splashback radius ray galaxy cluster galaxy hsc survey splashback radius measurement srg erosita efeds ray selected galaxy cluster correlating hsc photometric galaxy ray expected le affected systematics projection affect optical cluster finder algorithm nearly volume limited sample galaxy cluster selected kev band luminosity l x erg redshift measurement projected correlation signal noise measurement infer dimensional profile steepest slope sharper associate location splashback radius infer splashback radius mpc measure weak lensing signal galaxy cluster halo mass log odot hsc shape catalogue data median redshift cluster sample value spherical overdensity boundary mpc halo mass consistent sigma lambda cdm prediction constraint splashback radius although broad measurement far ray selected galaxy cluster sample,"['astro-ph.CO', 'astro-ph.GA']",2,6
2021-12-28,arens michael envelope nilpotent lie algebra holomorphic function exponential homological epimorphisms aim explicit description arens michael envelope universal enveloping algebra dimensional nilpotent complex lie algebra turn arens michael envelope belongs class completion goodman precise algebra preliminary characterize holomorphic function exponential simply connected nilpotent complex lie lead unexpected connection riemannian geometry entire function corollary arens michael envelope considered homological epimorphism get positive investigated earlier dosi pirkovskii,['math.FA'],1,8
2020-12-11,pde unidirectional flow stationary profile asymptotic behaviour stationary profile convection diffusion unidirectional pedestrian flow domain entrance exit inflow outflow condition entrance exit shape domain strong influence stationary profile formation boundary layer relate location shape layer inflow outflow condition shape domain geometric singular perturbation furthermore confirm exemplify analytical result mean computational experiment,"['math.AP', 'math.DS']",2,7
2023-06-06,infinite symmetry algebra yang mill similar gravity infinite tower symmetry generated spin charge identified yang mill studying collinear limit celestial product gluon aim recover loop symmetry term charge aspect constructed gluonic fock space explicit construction spin charge aspect operator polynomial gluonic annihilation creation operator core consists charge closed loop algebra quadratic closure involves commutator cubic expansion charge linear soft charge quite remarkably show infinite dimensional symmetry constrains linear yang mill similar spin gravity global quadratic hard charge loop wedge subalgebra infty,['hep-th'],1,8
2019-10-28,momentum accelerated learning study accelerated algorithm learning acceleration scheme incorporating historical iterates idea conceptually inspired momentum acceleration method optimization action space setting accelerated learning algorithm provably converges global optimum rate mathcal sqrt sharing comparable theoretic convergence rate existing speedy learning speedyq algorithm numerically algorithm outperforms speedyq playing frozenlake grid game furthermore generalize acceleration scheme continuous action space approximation algorithm validated commonly adopted testing problem reinforcement learning discrete linear quadratic regulation lqr problem deepmind control suite atari game result accelerated algorithm improve convergence compared vanilla learning algorithm,"['eess.SY', 'cs.SY']",2,4
2021-05-03,data informativity analysis linear system convex conic constraint study informativity reachability null controllability constrained system precise focus unknown linear system convex conic constraint measure data consisting exact trajectory length interested analysis unknown basis measured data measurement unique explaining data restrictive case mean identification combined analysis formulate condition data consistent measurement guaranteed reachable null controllable condition stated term spectral condition subspace inclusion therefore easy verify,['math.OC'],1,4
2022-08-30,quantile deviation median deviation mad popular robust measure statistical dispersion applied parametric distribution especially multimodal discrete heavy tailed lot statistical inference issue arise applied distribution slight deviation normality issue actual gaussian efficiency mad always enough quantile deviation qad generalization mad measure dispersion provides flexible analyzing property parametric distribution allows controlling trade robustness statistical efficiency trimmed harrell davis median estimator highest density interval width complimentary median estimator give increased sample gaussian efficiency compared sample median breakdown matched qad rule thumb suggest measure dispersion standard qad qad gaussian efficiency breakdown point respectively,['stat.ME'],1,4
2023-02-21,reconstruction sequence distorted insertion reconstruction code generalization error correcting code correct error noisy read code initiated levenshtein application modern storage device racetrack memory dna storage central design code redundancy small noisy read minimum redundancy code binary channel exactly insertion determined asymptotically value previously code channel edit error deletion error,"['cs.IT', 'math.CO', 'math.IT']",3,4
2020-12-24,identifying mislabeled data area margin ranking data typical training help generalization sample overly ambiguous outrightly mislabeled introduces identify sample mitigate training neural network heart algorithm area margin aum statistic exploit difference training dynamic clean mislabeled sample procedure adding extra class populated purposefully mislabeled threshold sample learns aum isolates mislabeled data consistently improves upon prior synthetic datasets webvision classification remove training data yielding improvement test error cifar removing data lead drop error,"['cs.LG', 'cs.CV', 'stat.ML']",3,0
2018-06-15,deep generative model challenge medical imaging advance deep learning led generative modeling technique unprecedented generated sample learning complex distribution imaging data model medical image computing application clinically relevant unsupervised learning problem explore feasibility auto encoder deep generative model variational adversarial auto encoders abnormality detection medical imaging typical datasets brain scan healthy subject patient stroke lesion brain tumor data healthy subject train auto encoder model learn distribution healthy image detect pathology outlier model learn data distribution detect outlier accurately detection deep generative model deep learning approach benchmark conclude abnormality detection deep generative model room exists improvement facilitate aim processed imaging data community,['cs.CV'],1,3
2018-07-12,effect dark matter higgs mediator scalar exchange dark matter relic abundance solving plasma modified schroedinger equation simplified considered majorana dark matter fermion embedded extension standard couple dark higgs yukawa interaction dark higgs exchange increase overclosure bound largest smallest yukawa coupling examined dark matter mass lifted tev tev tev tev,['hep-ph'],1,1
2019-10-25,dct map compact differentiable lidar map cosine transform robot mapping technique lidar sensor tessellate environment pixel voxels assume uniformity environment although intuitive entail disadvantage resulting grid map exhibit aliasing effect differentiable drawback introducing mapping neither rely tessellation assumption piecewise uniformity space increasing memory requirement instead representing map position domain store map parameter discrete frequency domain leverage continuous extension inverse discrete cosine transform convert continuously differentiable scalar field position domain call dct map dct map assigns space lidar decay rate model local permeability space laser ray map object laser permeability completely opaque completely transparent dct map represent lidar measurement grid map gaussian occupancy map hilbert map memory requirement demonstrated experiment,"['cs.CV', 'cs.RO', 'eess.IV']",3,2
2022-06-22,spinorial energy asymptotically euclidean ricci flow introduces functional generalizing perelman weighted hilbert einstein action dirichlet energy spinors defined class compact manifold asymptotically euclidean manifold functional admit unique critical necessarily min max ricci flow gradient flow variational formula weighted spinorial functionals spin manifold boundary,"['math.DG', 'math-ph', 'math.AP', 'math.MP']",4,2
2019-04-22,vast exoplanet satellite energy astrophysics photometric precision monitoring baseline rapid sampling rate required modern satellite designed detecting signal transiting exoplanets ideally suited application energy astrophysics exemplify discussing result active galactic nucleus kepler summarizing energy result kepler precision instrument currently underutilized energy application despite great complex systematics affecting data summarize effect mitigation approach conclude discussing launched transiting exoplanet survey satellite mission differ kepler way energy community,"['astro-ph.IM', 'astro-ph.HE']",2,4
2021-10-26,equivariant atiyah patodi singer index action index formula isometric action unimodular locally compact riemannian manifold boundary compact equivariant elliptic define index operatorname index term parametrix trace associated equivariant atiyah patodi singer index index analytic condition hold condition satisfied identity generated discrete conjugacy class polynomial growth connected linear semisimple lie semisimple classical compact trivial argument reduce relatively short original atiyah patodi singer index condition operatorname index recovered theoretic index trace defined orbital integral conjugacy class,"['math.DG', 'math.KT', 'math.OA']",3,2
2022-07-22,auto machine learning medical image analysis unifying search data augmentation neural architecture automated data augmentation aim engineering augmentation policy automatically draw growing auto augmentation method utilized density matching strategy evaluating policy term test augmentation theoretically empirically demonstrated inconsistency train validation small medical image datasets referred domain sampling bias demonstrated domain sampling bias might cause inefficiency density matching improved augmentation search strategy named augmented density matching randomly sampling policy prior distribution training automatical machine learning automl algorithm unifying search data augmentation neural architecture result indicated method outperformed approach medmnist pioneering benchmark designed automl medical image analysis,['cs.CV'],1,3
2020-02-05,continuum enhancement line profile magnetic field evolution consecutive flare solar flare magnetic energy converted electromagnetic radiation radio wave gamma ray enhancement continuum visible wavelength rise white light flare continuum enhancement fuv nuv passbands addition strong energy release event lead rearrangement magnetic field photospheric level causing morphological change stable magnetic structure sunspot observation acquired satellite instrument iris sdo hmi hinode sot ground telescope rosa dst consecutive flare occurred active region noaa november flare accompanied eruption result analysis presence continuum enhancement evolution event observed rosa image textit iris spectrum latter prominent blue shifted observed onset eruption played evolution delta sunspot active region flare triggering change penumbra surrounding sunspot consequence flare,"['astro-ph.SR', 'physics.space-ph']",2,6
2020-05-01,quasimap wall crossing git quotient wall crossing formula epsilon stable quasimaps git quotient conjectured ciocan fontanine kim target genus orbifold stability condition adjacent chamber equivalent invariant chamber stable genus quasimaps marked compute invariant stable chamber term small quasimap function lagrangian cone gromov witten proof virtual localization master space universal construction modulus weighted curve fixed locus correspondence term wall crossing formula,"['math.AG', 'math-ph', 'math.MP']",3,2
2018-07-25,near spectroscopic survey orionis object conducted homogenous near spectroscopic survey object varying degree similarity orionis common spectroscopic feature characteristic classical fuors ori cyg cyg strong absorption weak metal absorption strong water band gravity strong blue shifted absorption emission line criterion classify object either bona fide fuors eruption observed fuor object eruption observed peculiar object fuor characteristic spectral atlas bona fide fuors fuor object peculiar object object classify fuors fuor similar near spectrum spectral similarity extinction source correlate extinction depth micron ice band bona fide fuors still today maintain spectrum fuor despite eruption occurring year ago fuors fuor object occupy unique space plot equivalent width whereas peculiar object tend mostly elsewhere since fuors reflection nebula atlas band image target near spectrum fuors young brown dwarf extremely similar distinguishing paschen beta absorption spectrum fuors although ori normae previously classified candidate fuors classify peculiar object fuor property since spectrum differ bona fide fuors confirm fuor object initially identified candidate near morphology,['astro-ph.SR'],1,6
2023-02-01,robust linear regression gradient descent early stopping robustness adversarial attack early stopping strategy gradient descent method linear regression early stopped optimally robust constant euclidean norm adversarial attack strategy arbitrarily sub mahalanobis attack compatible finding classification cite vardigradientmp provably converges robust model alleviate apply instead scheme transformation data adapted attack data transformation amount apply depending learning rate modified handle mahalanobis attack attack condition unfortunately choosing adapted transformation hard attack rescue design tractable estimator whose adversarial risk multiplicative constant population regime work norm,"['stat.ML', 'cs.LG']",2,4
2023-04-20,broad recommender nonlinear collaborative filtering deep neural network dnns collaborative filtering produce result capability capturing complex nonlinear relationship item user dnns model usually suffer computational complexity consuming training storing huge amount trainable parameter problem broad recommender broad collaborative filtering broadcf nonlinear collaborative filtering instead dnns broad learning bls mapping learn complex nonlinear relationship user item avoid issue achieving satisfactory feasible feed original rating data bls user item rating collaborative vector preprocessing procedure generate dimensional user item input data harness judgment similar user item experiment conducted benchmark datasets confirmed effectiveness broadcf algorithm,"['cs.IR', 'cs.LG']",2,0
2021-03-03,precise spectroscopy hyperfine muonium intensity pulsed muon beam hydrogen atom consisting positive muon electron muonium near ideal body precision test symmetry museum collaboration precision measurement muonium ground hyperfine parc intensity pulsed muon beam rate positron counter resonance hyperfine transition successfully observed near magnetic field muonium hyperfine interval text hf ghz relative precision ppm consistent one los alamo national laboratory theoretical calculation demonstration microwave spectroscopy muonium experiment highest precision,"['hep-ex', 'physics.atom-ph', 'physics.ins-det']",3,7
2019-03-12,asymptotic property small data solution vlasov maxwell dimension almost sharp decay estimate small data solution derivative vlasov maxwell dimension geq smallness assumption concern certains weighted norm initial data compact support assumption required vlasov maxwell field main ingredient vector field method kinetic wave equation null property vlasov maxwell control velocity decay estimate velocity average relativistic massive transport equation massless vlasov maxwell velocity support vlasov field velocity support vlasov field need initially bounded away compensate weaker decay estimate velocity average massless vlasov field near light cone extra null decomposition velocity vector,['math.AP'],1,10
2023-05-26,bulk flow local universe importance relativistic effect bulk flow velocity typically estimated idealised picture observer moving perfectly homogeneous isotropic space picture consistent standard perturbation relativistic effect lead correction term time redshift amplitude bulk flow dominant relativistic contribution scale lesssim caused gravitational redshift evolution velocity field effect broadly applicable weak field approximation cosmographic formula estimating bulk flow precision formula judge bulk flow estimate biased towards larger value sim theoretical bias surpasses measurement bias estimate become still relativistic effect scale bulk flow estimated increase,"['astro-ph.CO', 'gr-qc']",2,1
2018-11-01,partitioning duality linkage disequilibria moran recombination moran recombination considered evolution genetic composition population recombination resampling site locus letter allele every site scaling assumption assume diffusion limit following marginal ancestral recombination mathcal partition concentrate joint probability letter site individual site individual individual sampled population replacement following ancestry site backwards yield partition diffusion limit turn marginalised version locus ancestral recombination help inclusion exclusion distribution corresponding partition represented systematic help recombinators sampling function true correlation function linkage disequilibria genetics order partitioning backward dual moran population forward sampling play duality shed light bobrowski wojdyla kimmel lead closed ordinary differential equation expectation sampling function translated expected distribution expected linkage disequilibria,"['math.PR', 'q-bio.PE']",2,2
2020-12-01,iterative method solving ill posed problem modeled pde iterative method maz kozlov see solving ill posed inverse problem modeled partial differential equation linear evolutionary problem elliptic hyperbolic parabolic type analyzed method consists posed boundary initial respectively iteration power affine operator alternative convergence proof algorithm spectral fact linear part affine operator expansive additional functional analytical property see problem noisy data considered estimate convergence rate priori regularity assumption data,"['math.NA', 'cs.NA']",2,10
2018-03-08,combinatorial penalty structure preserved convex relaxation homogeneous homogeneous convex relaxation combinatorial penalty function defined support set identifies key difference tightness resulting relaxation notion combinatorial envelope along condition support identification adaptive estimator convex monotone regularizers condition support recovery asymptotic,"['cs.LG', 'stat.ML']",2,2
2023-06-07,surface passivation super repellence aqueous macromolecular condensate solution macromolecule undergo liquid liquid separation droplet ultra surface tension droplet surface tension wet spread common surface test tube microscope slide complicating textit vitro experiment development universal super repellent surface macromolecular droplet remained elusive ultra surface tension requires surface energy furthermore nonwetting droplet containing protein pose additional challenge surface must remain inert chemistry presented amino acid side chain droplet surface coat microscope slide thin transparent hydrogel exhibit complete dewetting contact angle theta approx circ pinning separated droplet aqueous hydrogel swollen matrix chemically crosslinked polyethylene glycol diacrylate molecular weight kda pegda prepared basic chemistry lab equipment pegda hydrogel powerful tool textit vitro study weak interaction dynamic internal organization separated droplet aqueous solution,"['cond-mat.soft', 'cond-mat.mtrl-sci', 'physics.bio-ph']",3,7
2019-05-29,rossby wave instability frequency quasi periodic oscillation accretion disc orbiting black hole rather elusive frequency quasi periodic oscillation hfqpo observed ray lightcurve black hole seen frequency source notable detected pair hfqpos close integer ratio frequency aim observable could rossby wave instability rwi active accretion disc surrounding compact object newly amrvac code follow evolution rwi full relativistic explore rwi reproduce observed hfqpo frequency ratio compatible observation emission coming disc linked relativistic simulation relativistic ray tracing gyoto code delivered synthetic confronted actual data binary system hosting hfqpos demonstrated change physical condition prevailing disc rwi triggered lead dominant rwi mode whose ratio recovers frequency ratio observed ray binary system addition highlighted rwi triggered near stable orbit spinning black hole amplitude ray modulation increase spin black hole revisiting published data ray binary system relationship actually exists system indirect measure spin black hole,['astro-ph.HE'],1,6
2018-10-17,minkowski conformal block regge limit syk model scattering cft conformal partial wave analysis regge limit focus understanding ope minkowski conformal block starting channel ope lead expansion channel scattering amplitude term channel exchange contrasting euclidean conformal block see precise relationship conformal block limit preforming explicit analytic continuation generic cft correlation singular sim delta delta limit rightarrow rightarrow delta ell eff ell eff serving spin determined ope bounded ell eff leq cfts gravity dual associated string mode interpolating graviton ad singularity historically referred pomeron nearly saturated syk cft stringy thermal correction piqued interest analysis facilitated dealing wightman function direct treatment diagonalizing dynamical equation harmonic analysis physical scattering region method applied syk,['hep-th'],1,1
2019-08-14,pandax iii searching neutrinoless double beta decay pressure gaseous projection chamber pandax iii particle astrophysical xenon iii search neutrinoless double beta decay nldbd china jin ping underground laboratory cjpl pressure gas projection chamber tpc contain enriched gas operated bar microbulk micromegas pitch micro pattern gas detector charge readout enable reconstruct track nldbd event energy spatial resolution excellent background suppression capability tracking information proceeding overview progress pandax iii data taking prototype tpc,"['physics.ins-det', 'hep-ex', 'nucl-ex']",3,1
2019-11-11,strain induced slater transition polar metal lioso lioso experimentally confirmed polar metal work suggested ground lioso close critical metal insulator transition electronic lioso tuned epitaxial biaxial strain undergoes slater metal insulator transition tensile strain antiferromagnetism emerges underlying mechanism bandwidth tuning extended sister compound naoso show opposite transition antiferromagnetic insulator nonmagnetic metal hydrostatic pressure suggests feasible route manipulation magnetism conductivity polar metal lioso,"['cond-mat.mtrl-sci', 'cond-mat.str-el']",2,7
